temperature,pump cooler freq,concentration,light intensity
 temperature, pump cooler freq, concentration, light intensity
 15.39139, 1, 13752.97, 1594.52
 15.39139, 1, 14912.08, 1595.15
 15.46032, 1, 15358.29, 1596.34
 15.39994, 1, 14360.73, 1598.05
 15.51189, 1, 14394.98, 1590.24
 15.64997, 1, 14115.23, 1593.34
 15.44314, 1, 13513.47, 1590.69
 15.51208, 1, 14166.6, 1591.12
 15.49477, 1, 14940.68, 1597.02
 15.38274, 1, 14220.84, 1595.16
 15.62413, 1, 14023.92, 1597.82
 15.55302, 1, 15415.51, 1589.21
 15.36547, 1, 13522.03, 1589.85
 15.33958, 1, 13983.95, 1591.82
 15.62412, 1, 13735.85, 1591.03
 15.33105, 1, 15581.51, 1596.52
 15.55153, 1, 14843.49, 1596.64
 15.34825, 1, 14540.63, 1596.28
 15.48622, 1, 15086.51, 1593.23
 15.4862, 1, 15527.14, 1592.44
 15.71539, 1, 14886.38, 1589.08
 15.59818, 1, 14949.26, 1592.05
 15.61548, 1, 14312.18, 1587.2
 15.43441, 1, 16340.81, 1591.23
 15.52067, 1, 16705.16, 1591.72
 15.43449, 1, 18096.33, 1589.0
 15.52064, 1, 17742.39, 1584.22
 15.32206, 1, 16644.92, 1584.7
 15.79644, 1, 16429.73, 1587.55
 15.48621, 1, 14457.79, 1589.59
 15.5293, 1, 17273.75, 1582.01
 15.64994, 1, 16888.87, 1585.16
 15.62394, 1, 18050.3, 1585.83
 15.62409, 1, 17834.47, 1581.91
 15.38272, 1, 16372.35, 1587.6
 15.40848, 1, 18010.0, 1581.75
 15.77048, 1, 19084.84, 1572.83
 15.77921, 1, 18073.31, 1582.1
 15.58105, 1, 16774.03, 1580.17
 15.60682, 1, 17132.99, 1583.48
 15.55515, 1, 17581.35, 1587.96
 15.36542, 1, 19145.4, 1581.59
 15.63262, 1, 19696.86, 1577.93
 15.47757, 1, 17210.55, 1583.85
 15.59823, 1, 18424.65, 1582.85
 15.61546, 1, 17621.61, 1584.17
 15.73615, 1, 18684.0, 1579.16
 15.68439, 1, 20017.65, 1578.53
 15.72754, 1, 19321.46, 1570.22
